Wvlgth nm,Global tilt  W*m-2*nm-1
486,1.27E+00
487,1.42E+00
488,1.54E+00
489,1.45E+00
490,1.62E+00
491,1.56E+00
492,1.49E+00
493,1.59E+00
494,1.55E+00
495,1.65E+00
496,1.57E+00
497,1.59E+00
498,1.55E+00
499,1.55E+00
500,1.55E+00
501,1.50E+00
502,1.50E+00
503,1.57E+00
504,1.46E+00
505,1.56E+00
506,1.63E+00
507,1.56E+00
508,1.52E+00
509,1.59E+00
510,1.55E+00
511,1.58E+00
512,1.62E+00
513,1.52E+00
514,1.49E+00
515,1.53E+00
516,1.55E+00
517,1.26E+00
518,1.44E+00
519,1.40E+00
520,1.52E+00
521,1.53E+00
522,1.57E+00
523,1.48E+00
524,1.59E+00
525,1.58E+00
526,1.53E+00
527,1.34E+00
528,1.54E+00
529,1.61E+00
530,1.54E+00
531,1.63E+00
532,1.60E+00
533,1.43E+00
534,1.53E+00
535,1.55E+00
536,1.62E+00
537,1.50E+00
538,1.57E+00
539,1.54E+00
540,1.48E+00
541,1.43E+00
542,1.55E+00
543,1.53E+00
544,1.58E+00
545,1.54E+00
546,1.53E+00
547,1.55E+00
548,1.50E+00
549,1.55E+00
550,1.54E+00
551,1.54E+00
552,1.57E+00
553,1.53E+00
554,1.55E+00
555,1.56E+00
556,1.54E+00
557,1.50E+00
558,1.53E+00
559,1.45E+00
560,1.47E+00
561,1.56E+00
562,1.48E+00
563,1.54E+00
564,1.51E+00
565,1.52E+00
566,1.44E+00
567,1.53E+00
568,1.52E+00
569,1.48E+00
570,1.48E+00
571,1.43E+00
572,1.51E+00
573,1.52E+00
574,1.51E+00
575,1.48E+00
576,1.47E+00
577,1.50E+00
578,1.46E+00
579,1.48E+00
580,1.50E+00
581,1.51E+00
582,1.53E+00
583,1.55E+00
584,1.54E+00
585,1.53E+00
586,1.50E+00
587,1.53E+00
588,1.49E+00
589,1.29E+00
590,1.37E+00
591,1.47E+00
592,1.44E+00
593,1.46E+00
594,1.45E+00
595,1.43E+00
596,1.47E+00
597,1.48E+00
598,1.46E+00
599,1.46E+00
600,1.48E+00
601,1.46E+00
602,1.44E+00
603,1.47E+00
604,1.49E+00
605,1.49E+00
606,1.48E+00
607,1.49E+00
608,1.49E+00
609,1.47E+00
610,1.47E+00
611,1.46E+00
612,1.48E+00
613,1.46E+00
614,1.42E+00
615,1.47E+00
616,1.43E+00
617,1.41E+00
618,1.47E+00
619,1.47E+00
620,1.47E+00
621,1.48E+00
622,1.43E+00
623,1.42E+00
624,1.41E+00
625,1.40E+00
626,1.40E+00
627,1.44E+00
628,1.36E+00
629,1.41E+00
630,1.39E+00
631,1.42E+00
632,1.36E+00
633,1.45E+00
634,1.43E+00
635,1.45E+00
636,1.41E+00
637,1.46E+00
638,1.47E+00
639,1.46E+00
640,1.43E+00
641,1.43E+00
642,1.44E+00
643,1.45E+00
644,1.45E+00
645,1.46E+00
646,1.42E+00
647,1.41E+00
648,1.40E+00
