wavelength,irradiance
680,0.003994327
681,0.004127328
682,0.004317862
683,0.004628771
684,0.005161034
685,0.005831545
686,0.006585607
687,0.007225956
688,0.007627815
689,0.007660179
690,0.007411399
691,0.006971046
692,0.006431634
693,0.005886869
694,0.005379897
695,0.004838213
696,0.004265407
697,0.003637569
698,0.003045829
699,0.002591074
700,0.002453985
701,0.002822753
702,0.003766835
703,0.005430217
704,0.008078494
705,0.011412027
706,0.015222743
707,0.018963419
708,0.022064561
709,0.024127039
710,0.024851761
711,0.024160189
712,0.022142355
713,0.019240357
714,0.01581334
715,0.012215094
716,0.008820837
717,0.006028737
718,0.003834612
719,0.002327535
720,0.001546875
721,0.001198892
722,0.001065919
723,0.001021066
724,0.000976005
725,0.000955836
726,0.000924181
727,0.00089887
728,0.000879547
729,0.00084747
730,0.000824664
731,0.000788491
732,0.000750129
733,0.000704848
734,0.000660833
735,0.000624754
736,0.000594467
737,0.000580017
738,0.000586692
739,0.000634331
740,0.000715166
741,0.000807414
742,0.000902155
743,0.000968931
744,0.000986775
745,0.000962312
746,0.000903255
747,0.000821761
748,0.00072064
749,0.000625862
750,0.000554321
751,0.000491897
752,0.000442373
753,0.000443057
754,0.000491051
755,0.000692237
756,0.001117578
757,0.001864387
758,0.002826844
759,0.003808846
760,0.004592953
761,0.004890509
762,0.004686151
763,0.004024212
764,0.00306944
765,0.002098386
766,0.001338651
767,0.000939861
768,0.000879563
769,0.000939595
770,0.000999939
771,0.00100361
772,0.000923539
773,0.00078994
774,0.000641219
775,0.000496898
776,0.000349864
777,0.000275002
778,0.000228643
779,0.000198691
780,0.000188461
781,0.000202628
782,0.000250282
783,0.000339551
784,0.000432257
785,0.000526861
786,0.000578886
787,0.000575413
788,0.000531844
789,0.000444689
790,0.000353968
791,0.000256817
792,0.000191803
793,0.000157898
794,0.000152121
795,0.000146117
796,0.000140204
797,0.000135808
798,0.000140918
799,0.000145985
800,0.000157564
801,0.000189797
802,0.000246279
803,0.000350921
804,0.000507562
805,0.000745452
806,0.001173451
807,0.00199511
808,0.003446009
809,0.005426008
810,0.007554815
811,0.00933298
812,0.010239925
813,0.010069782
814,0.008877993
815,0.006935638
816,0.004846943
817,0.003109148
818,0.002044378
819,0.001695478
820,0.0016102
821,0.001576161
822,0.001478129
823,0.001352844
824,0.001317063
825,0.00143082
826,0.00177386
827,0.002357945
828,0.00299411
829,0.003504558
830,0.003758498
831,0.003645937
832,0.003215676
833,0.002591008
834,0.001855883
835,0.001172408
836,0.000613854
837,0.000287467
838,0.000155276
839,0.000122646
840,0.000128001
841,0.000143762
842,0.000142169
843,0.000149527
844,0.000149633
845,0.000153423
846,0.000160599
847,0.000204505
848,0.000265952
849,0.000369695
850,0.000480657
851,0.000568993
852,0.000615252
853,0.000603585
854,0.000528447
855,0.000419743
856,0.000296609
857,0.000185496
858,0.000120307
859,8.68E-05
860,8.86E-05
861,0.000102898
862,0.000111902
863,0.000129763
864,0.000135266
865,0.000131857
866,0.00012659
867,0.00010884
868,8.93E-05
869,7.50E-05
870,6.62E-05
871,7.16E-05
872,0.000111113
873,0.000260118
874,0.000617571
875,0.001303092
876,0.002239716
877,0.003177616
878,0.003903416
879,0.004164536
880,0.003987045
881,0.003383307
882,0.002499995
883,0.001500738
884,0.000719594
885,0.000270388
886,0.000101697
887,8.72E-05
888,0.000185626
889,0.000453781
890,0.001010512
891,0.001802988
892,0.002662532
893,0.003351248
894,0.003686266
895,0.003615273
896,0.00313829
897,0.002383455
898,0.00153699
899,0.000777094
900,0.000332784
